PlayerID	SessionCount	PlayerAttributes	QuitLevel	QuitLevel-EventName	QuitLevel-NodeID	QuitType	QuitType-BetweenLevels	QuitType-OnFail	QuitType-OnCheckpoint	QuitType-Other	SkillSequenceCount	SkillSequenceCount-Event Sequence	SnippetReceivedCount	SnippetReceivedCount-Bad	SnippetReceivedCount-Good	SnippetReceivedCount-Great	TopAttribute	TopAttribute-Names	TotalFails	WorstAttribute	WorstAttribute-Names	lvl1_AttributeView	lvl2_AttributeView	lvl3_AttributeView	lvl4_AttributeView	lvl5_AttributeView	lvl6_AttributeView	lvl1_EditorNoteOpen	lvl2_EditorNoteOpen	lvl3_EditorNoteOpen	lvl4_EditorNoteOpen	lvl5_EditorNoteOpen	lvl6_EditorNoteOpen	lvl1_FailureAttributes	lvl2_FailureAttributes	lvl3_FailureAttributes	lvl4_FailureAttributes	lvl5_FailureAttributes	lvl6_FailureAttributes	lvl1_FailureCount	lvl1_FailureCount-OutOfTime	lvl1_FailureCount-LowAttribute	lvl2_FailureCount	lvl2_FailureCount-OutOfTime	lvl2_FailureCount-LowAttribute	lvl3_FailureCount	lvl3_FailureCount-OutOfTime	lvl3_FailureCount-LowAttribute	lvl4_FailureCount	lvl4_FailureCount-OutOfTime	lvl4_FailureCount-LowAttribute	lvl5_FailureCount	lvl5_FailureCount-OutOfTime	lvl5_FailureCount-LowAttribute	lvl6_FailureCount	lvl6_FailureCount-OutOfTime	lvl6_FailureCount-LowAttribute	lvl1_FinalAttributes	lvl2_FinalAttributes	lvl3_FinalAttributes	lvl4_FinalAttributes	lvl5_FinalAttributes	lvl6_FinalAttributes	lvl1_LevelCompleted	lvl2_LevelCompleted	lvl3_LevelCompleted	lvl4_LevelCompleted	lvl5_LevelCompleted	lvl6_LevelCompleted	lvl1_SnippetsCollected	lvl1_SnippetsCollected-Qualities	lvl1_SnippetsCollected-Types	lvl2_SnippetsCollected	lvl2_SnippetsCollected-Qualities	lvl2_SnippetsCollected-Types	lvl3_SnippetsCollected	lvl3_SnippetsCollected-Qualities	lvl3_SnippetsCollected-Types	lvl4_SnippetsCollected	lvl4_SnippetsCollected-Qualities	lvl4_SnippetsCollected-Types	lvl5_SnippetsCollected	lvl5_SnippetsCollected-Qualities	lvl5_SnippetsCollected-Types	lvl6_SnippetsCollected	lvl6_SnippetsCollected-Qualities	lvl6_SnippetsCollected-Types	lvl1_SnippetsSubmitted	lvl2_SnippetsSubmitted	lvl3_SnippetsSubmitted	lvl4_SnippetsSubmitted	lvl5_SnippetsSubmitted	lvl6_SnippetsSubmitted	lvl1_StoryAlignment	lvl2_StoryAlignment	lvl3_StoryAlignment	lvl4_StoryAlignment	lvl5_StoryAlignment	lvl6_StoryAlignment	lvl1_StoryAlignmentSequence	lvl2_StoryAlignmentSequence	lvl3_StoryAlignmentSequence	lvl4_StoryAlignmentSequence	lvl5_StoryAlignmentSequence	lvl6_StoryAlignmentSequence	lvl1_StoryScore	lvl2_StoryScore	lvl3_StoryScore	lvl4_StoryScore	lvl5_StoryScore	lvl6_StoryScore	lvl1_StoryScoreSequence	lvl2_StoryScoreSequence	lvl3_StoryScoreSequence	lvl4_StoryScoreSequence	lvl5_StoryScoreSequence	lvl6_StoryScoreSequence	ContinuesOnFail	GameComplete	UserPlayTime	UserPlayTime-Active
"AbruptSpy"	2	"[2,1,2,1,2,1]"	0	"snippet_received"	"Office1-CityHall"	"Other"	false	false	false	true	3	[{"skill": "{\"Research\":1,\"Resourceful\":0,\"Endurance\":0,\"Tech\":0,\"Social\":0,\"Trust\":0}", "time": "2023-10-02 19:57:28", "index": 0}, {"skill": "{\"Research\":0,\"Resourceful\":0,\"Endurance\":1,\"Tech\":0,\"Social\":1,\"Trust\":1}", "time": "2023-10-02 19:58:33", "index": 1}, {"skill": "{\"Research\":0,\"Resourceful\":0,\"Endurance\":0,\"Tech\":0,\"Social\":0,\"Trust\":-1}", "time": "2023-10-02 19:59:45", "index": 2}]	5	2	0	3	2	["endurance", "tech", "trust"]	0	1	["resourceful", "social", "research"]	0	0	0	0	0	0	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	false	false	false	false	false	false	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	false	"0:11:41.998000"	"0:11:41.998000"
"AbsentFood"	1	[0, 0, 0, 0, 0, 0]	0	"display_text_dialog"	"START"	"Other"	false	false	false	true	0	[]	0	0	0	0	0	[]	0	0	[]	0	0	0	0	0	0	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	false	false	false	false	false	false	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	false	"0:00:21.110000"	"0:00:21.110000"
"AbsentNiche"	1	"[1,2,1,1,2,2]"	0	"open_timer"	"None"	"Other"	false	false	false	true	2	[{"skill": "{\"Research\":0,\"Resourceful\":0,\"Endurance\":0,\"Tech\":0,\"Social\":1,\"Trust\":1}", "time": "2023-09-29 12:46:06", "index": 0}, {"skill": "{\"Research\":0,\"Resourceful\":1,\"Endurance\":0,\"Tech\":0,\"Social\":0,\"Trust\":0}", "time": "2023-09-29 12:46:43", "index": 1}]	0	0	0	0	2	["resourceful", "trust", "research"]	0	1	["endurance", "tech", "social"]	0	0	0	0	0	0	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	false	false	false	false	false	false	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	false	"0:05:55.614000"	"0:05:55.614000"
"AccusedBasket"	1	"[2,2,1,1,1,1]"	0	"display_text_dialog"	"Office1-Police"	"Other"	false	false	false	true	2	[{"skill": "{\"Research\":1,\"Resourceful\":0,\"Endurance\":0,\"Tech\":0,\"Social\":0,\"Trust\":0}", "time": "2023-10-02 18:44:39", "index": 0}, {"skill": "{\"Research\":0,\"Resourceful\":1,\"Endurance\":0,\"Tech\":0,\"Social\":0,\"Trust\":0}", "time": "2023-10-02 18:45:28", "index": 1}]	0	0	0	0	2	["endurance", "resourceful"]	0	1	["tech", "social", "trust", "research"]	0	0	0	0	0	0	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	false	false	false	false	false	false	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	false	"0:08:27.924000"	"0:08:27.924000"
"AcidicSpeed"	1	"[1,2,1,2,1,1]"	0	"snippet_received"	"TakeSomePhotos"	"Other"	false	false	false	true	1	[{"skill": "{\"Research\":0,\"Resourceful\":1,\"Endurance\":0,\"Tech\":1,\"Social\":0,\"Trust\":0}", "time": "2023-09-29 18:25:05", "index": 0}]	1	0	0	1	2	["resourceful", "social"]	0	1	["endurance", "tech", "trust", "research"]	0	0	0	0	0	0	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	false	false	false	false	false	false	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	false	"0:04:25.300000"	"0:04:25.300000"
"AdaptivePoster"	1	"[1,3,1,2,2,3]"	0	"editor_notes_open"	"None"	"Other"	false	false	false	true	3	[{"skill": "{\"Research\":0,\"Resourceful\":1,\"Endurance\":0,\"Tech\":1,\"Social\":0,\"Trust\":0}", "time": "2023-10-02 18:50:12", "index": 0}, {"skill": "{\"Research\":0,\"Resourceful\":1,\"Endurance\":0,\"Tech\":0,\"Social\":1,\"Trust\":1}", "time": "2023-10-02 18:51:06", "index": 1}, {"skill": "{\"Research\":0,\"Resourceful\":0,\"Endurance\":0,\"Tech\":0,\"Social\":0,\"Trust\":1}", "time": "2023-10-02 18:53:28", "index": 2}]	2	0	2	0	3	["resourceful", "research"]	0	1	["endurance", "tech"]	0	0	0	0	0	0	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	false	false	false	false	false	false	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	false	"0:11:55.314000"	"0:11:55.314000"
"AdaptiveScreen"	4	"[3,4,4,5,3,3]"	6	"change_background_image"	"LevelFinalIntro"	"Other"	false	false	false	true	14	[{"skill": "{\"Research\":1,\"Resourceful\":0,\"Endurance\":0,\"Tech\":0,\"Social\":0,\"Trust\":0}", "time": "2023-09-30 01:52:22", "index": 0}, {"skill": "{\"Research\":0,\"Resourceful\":1,\"Endurance\":0,\"Tech\":0,\"Social\":1,\"Trust\":1}", "time": "2023-09-30 01:52:59", "index": 1}, {"skill": "{\"Research\":0,\"Resourceful\":0,\"Endurance\":0,\"Tech\":0,\"Social\":0,\"Trust\":-1}", "time": "2023-09-30 01:53:38", "index": 2}, {"skill": "{\"Research\":0,\"Resourceful\":0,\"Endurance\":0,\"Tech\":2,\"Social\":0,\"Trust\":-1}", "time": "2023-09-30 01:59:47", "index": 3}, {"skill": "{\"Research\":0,\"Resourceful\":0,\"Endurance\":1,\"Tech\":0,\"Social\":0,\"Trust\":1}", "time": "2023-09-30 02:00:33", "index": 4}, {"skill": "{\"Research\":0,\"Resourceful\":1,\"Endurance\":0,\"Tech\":1,\"Social\":0,\"Trust\":0}", "time": "2023-09-30 02:01:11", "index": 5}, {"skill": "{\"Research\":1,\"Resourceful\":0,\"Endurance\":0,\"Tech\":0,\"Social\":0,\"Trust\":0}", "time": "2023-09-30 02:01:44", "index": 6}, {"skill": "{\"Research\":0,\"Resourceful\":0,\"Endurance\":1,\"Tech\":0,\"Social\":1,\"Trust\":0}", "time": "2023-09-30 02:10:03", "index": 7}, {"skill": "{\"Research\":0,\"Resourceful\":0,\"Endurance\":0,\"Tech\":0,\"Social\":0,\"Trust\":1}", "time": "2023-09-30 02:20:11", "index": 8}, {"skill": "{\"Research\":0,\"Resourceful\":1,\"Endurance\":0,\"Tech\":1,\"Social\":0,\"Trust\":0}", "time": "2023-09-30 02:21:23", "index": 9}, {"skill": "{\"Research\":0,\"Resourceful\":0,\"Endurance\":0,\"Tech\":2,\"Social\":0,\"Trust\":0}", "time": "2023-09-30 02:47:50", "index": 10}, {"skill": "{\"Research\":0,\"Resourceful\":0,\"Endurance\":1,\"Tech\":0,\"Social\":0,\"Trust\":0}", "time": "2023-09-30 02:55:15", "index": 11}, {"skill": "{\"Research\":0,\"Resourceful\":0,\"Endurance\":1,\"Tech\":0,\"Social\":0,\"Trust\":0}", "time": "2023-09-30 02:55:43", "index": 12}, {"skill": "{\"Research\":0,\"Resourceful\":0,\"Endurance\":0,\"Tech\":0,\"Social\":0,\"Trust\":1}", "time": "2023-09-30 02:55:54", "index": 13}]	42	8	20	14	5	["social"]	2	3	["endurance", "trust", "research"]	2	2	0	0	4	0	0	0	0	0	0	0	[{"endurance": 2, "resourceful": 2, "tech": 2, "social": 3, "trust": 2, "research": 1}]	[]	[{"endurance": 3, "resourceful": 4, "tech": 2, "social": 3, "trust": 3, "research": 2}]	[]	[]	[]	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	{"endurance": 3, "resourceful": 3, "tech": 1, "social": 2, "trust": 2, "research": 1}	{"endurance": 3, "resourceful": 3, "tech": 2, "social": 2, "trust": 3, "research": 1}	{"endurance": 3, "resourceful": 4, "tech": 2, "social": 3, "trust": 3, "research": 2}	{"endurance": 3, "resourceful": 4, "tech": 2, "social": 3, "trust": 3, "research": 2}	{"endurance": 3, "resourceful": 4, "tech": 4, "social": 5, "trust": 3, "research": 3}	{"endurance": 3, "resourceful": 4, "tech": 4, "social": 5, "trust": 3, "research": 3}	true	true	true	true	true	false	["@C22C685F", "@CB19BD38", "@3E8EE97D", "@932A76D4"]	["Good", "Good", "Good", "Great"]	["Fact", "Photo", "Quote", "Photo"]	["@22B3517C", "@9AA2F166", "@11F1B0E8", "@EB9ACCCF", "@39AE4E5F", "@620E6928", "@0A378E92", "@53656075"]	["Good", "Great", "Good", "Good", "Good", "Good", "Bad", "Bad"]	["Fact", "Graph", "Fact", "Fact", "Quote", "Quote", "Quote", "Quote"]	["@2072DF3F", "@D0C1271D", "@F141D9AB", "@C10E0BDE", "@51212A4C", "@6AA30C08", "@E7FE163C"]	["Bad", "Bad", "Good", "Good", "Great", "Bad", "Good"]	["Quote", "Photo", "Photo", "Quote", "Quote", "Fact", "Quote"]	["@04E7723C", "@DDEB34CE", "@47624F3F", "@2EA73652", "@0D535724", "@632DB3E3", "@E8E605E5"]	["Good", "Great", "Good", "Great", "Great", "Good", "Good"]	["Quote", "Quote", "Photo", "Quote", "Quote", "Fact", "Fact"]	["@31BD408D", "@BD87B552", "@2FA796DD", "@5FE55FE6", "@0C1065DC", "@C74CCBE6", "@25C2FA0C", "@7FA532C7", "@4277DEE8", "@E94DC3D3"]	["Good", "Great", "Great", "Bad", "Good", "Great", "Good", "Great", "Good", "Great"]	["Fact", "Quote", "Photo", "Fact", "Quote", "Observation", "Quote", "Fact", "Quote", "Quote"]	[]	[]	[]	["@C22C685F", "@CB19BD38", "@3E8EE97D", "@932A76D4"]	["@22B3517C", "@9AA2F166", "@11F1B0E8", "@EB9ACCCF", "@39AE4E5F", "@620E6928", "@0A378E92", "@53656075"]	["@2072DF3F", "@F141D9AB", "@C10E0BDE", "@51212A4C", "@6AA30C08", "@E7FE163C"]	["@04E7723C", "@DDEB34CE", "@47624F3F", "@2EA73652", "@0D535724", "@632DB3E3", "@E8E605E5"]	["@31BD408D", "@BD87B552", "@2FA796DD", "@5FE55FE6", "@0C1065DC", "@C74CCBE6", "@25C2FA0C", "@7FA532C7", "@4277DEE8", "@E94DC3D3"]	[]	0.376	0.55	0.3	0.4	0.419	0	[0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0]	[0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0]	[]	1	1	0	3	5	0	[0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0]	[0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0]	[]	0	true	"1:48:27.439000"	"1:32:43.050000"
"AdmiringNeedle"	1	"[2,2,1,2,1,1]"	1	"display_choices"	"None"	"Other"	false	false	false	true	2	[{"skill": "{\"Research\":0,\"Resourceful\":1,\"Endurance\":0,\"Tech\":1,\"Social\":0,\"Trust\":0}", "time": "2023-09-30 14:18:53", "index": 0}, {"skill": "{\"Research\":1,\"Resourceful\":0,\"Endurance\":0,\"Tech\":0,\"Social\":0,\"Trust\":0}", "time": "2023-09-30 14:19:20", "index": 1}]	7	1	6	0	2	["endurance", "resourceful", "social"]	0	1	["tech", "trust", "research"]	1	0	0	0	0	0	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	{"endurance": 2, "resourceful": 2, "tech": 1, "social": 2, "trust": 1, "research": 1}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	false	false	false	false	false	false	["@C22C685F"]	["Good"]	["Fact"]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	false	"0:13:17.834000"	"0:13:17.834000"
"AdoptiveButter"	1	"[1,2,1,1,2,1]"	0	"display_text_dialog"	"Office1-CityHall"	"Other"	false	false	false	true	3	[{"skill": "{\"Research\":0,\"Resourceful\":0,\"Endurance\":0,\"Tech\":0,\"Social\":1,\"Trust\":1}", "time": "2023-09-29 13:36:48", "index": 0}, {"skill": "{\"Research\":0,\"Resourceful\":1,\"Endurance\":0,\"Tech\":0,\"Social\":0,\"Trust\":0}", "time": "2023-09-29 13:37:20", "index": 1}, {"skill": "{\"Research\":0,\"Resourceful\":0,\"Endurance\":0,\"Tech\":0,\"Social\":0,\"Trust\":-1}", "time": "2023-09-29 13:37:43", "index": 2}]	4	1	2	1	2	["resourceful", "trust"]	0	1	["endurance", "tech", "social", "research"]	0	0	0	0	0	0	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	false	false	false	false	false	false	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	false	"0:08:40.040000"	"0:08:40.040000"
"AdoptiveDesk"	1	"[1,3,2,2,2,4]"	1	"text_click"	"ShowHimThePhotosYouTookOutsideToHelpHimUnderstandThisDireSituation"	"Other"	false	false	false	true	4	[{"skill": "{\"Research\":0,\"Resourceful\":1,\"Endurance\":0,\"Tech\":1,\"Social\":0,\"Trust\":0}", "time": "2023-09-29 18:10:02", "index": 0}, {"skill": "{\"Research\":0,\"Resourceful\":1,\"Endurance\":0,\"Tech\":0,\"Social\":1,\"Trust\":1}", "time": "2023-09-29 18:10:42", "index": 1}, {"skill": "{\"Research\":0,\"Resourceful\":0,\"Endurance\":0,\"Tech\":0,\"Social\":0,\"Trust\":1}", "time": "2023-09-29 18:12:43", "index": 2}, {"skill": "{\"Research\":0,\"Resourceful\":0,\"Endurance\":1,\"Tech\":0,\"Social\":0,\"Trust\":1}", "time": "2023-09-29 18:15:46", "index": 3}]	5	0	4	1	4	["research"]	0	1	["endurance"]	0	0	0	0	0	0	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	{"endurance": 1, "resourceful": 3, "tech": 2, "social": 2, "trust": 2, "research": 4}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	false	false	false	false	false	false	["@932A76D4", "@B7A5E498", "@8228E43A"]	["Great", "Good", "Good"]	["Photo", "Observation", "Photo"]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	false	"0:19:19.624000"	"0:19:19.624000"
