PlayerID	SessionID	PlayTime	PlayTime-Active	PlayTime-Idle	PlayerAttributes	QuitLevel	QuitLevel-EventName	QuitLevel-NodeID	QuitType	QuitType-BetweenLevels	QuitType-OnFail	QuitType-OnCheckpoint	QuitType-Other	SkillSequenceCount	SkillSequenceCount-Event Sequence	SnippetReceivedCount	SnippetReceivedCount-Bad	SnippetReceivedCount-Good	SnippetReceivedCount-Great	TopAttribute	TopAttribute-Names	TotalFails	WorstAttribute	WorstAttribute-Names	lvl1_AttributeView	lvl2_AttributeView	lvl3_AttributeView	lvl4_AttributeView	lvl5_AttributeView	lvl6_AttributeView	lvl1_EditorNoteOpen	lvl2_EditorNoteOpen	lvl3_EditorNoteOpen	lvl4_EditorNoteOpen	lvl5_EditorNoteOpen	lvl6_EditorNoteOpen	lvl1_FailureAttributes	lvl2_FailureAttributes	lvl3_FailureAttributes	lvl4_FailureAttributes	lvl5_FailureAttributes	lvl6_FailureAttributes	lvl1_FailureCount	lvl1_FailureCount-OutOfTime	lvl1_FailureCount-LowAttribute	lvl2_FailureCount	lvl2_FailureCount-OutOfTime	lvl2_FailureCount-LowAttribute	lvl3_FailureCount	lvl3_FailureCount-OutOfTime	lvl3_FailureCount-LowAttribute	lvl4_FailureCount	lvl4_FailureCount-OutOfTime	lvl4_FailureCount-LowAttribute	lvl5_FailureCount	lvl5_FailureCount-OutOfTime	lvl5_FailureCount-LowAttribute	lvl6_FailureCount	lvl6_FailureCount-OutOfTime	lvl6_FailureCount-LowAttribute	lvl1_FinalAttributes	lvl2_FinalAttributes	lvl3_FinalAttributes	lvl4_FinalAttributes	lvl5_FinalAttributes	lvl6_FinalAttributes	lvl1_LevelCompleted	lvl2_LevelCompleted	lvl3_LevelCompleted	lvl4_LevelCompleted	lvl5_LevelCompleted	lvl6_LevelCompleted	lvl1_SnippetsCollected	lvl1_SnippetsCollected-Qualities	lvl1_SnippetsCollected-Types	lvl2_SnippetsCollected	lvl2_SnippetsCollected-Qualities	lvl2_SnippetsCollected-Types	lvl3_SnippetsCollected	lvl3_SnippetsCollected-Qualities	lvl3_SnippetsCollected-Types	lvl4_SnippetsCollected	lvl4_SnippetsCollected-Qualities	lvl4_SnippetsCollected-Types	lvl5_SnippetsCollected	lvl5_SnippetsCollected-Qualities	lvl5_SnippetsCollected-Types	lvl6_SnippetsCollected	lvl6_SnippetsCollected-Qualities	lvl6_SnippetsCollected-Types	lvl1_SnippetsSubmitted	lvl2_SnippetsSubmitted	lvl3_SnippetsSubmitted	lvl4_SnippetsSubmitted	lvl5_SnippetsSubmitted	lvl6_SnippetsSubmitted	lvl1_StoryAlignment	lvl2_StoryAlignment	lvl3_StoryAlignment	lvl4_StoryAlignment	lvl5_StoryAlignment	lvl6_StoryAlignment	lvl1_StoryAlignmentSequence	lvl2_StoryAlignmentSequence	lvl3_StoryAlignmentSequence	lvl4_StoryAlignmentSequence	lvl5_StoryAlignmentSequence	lvl6_StoryAlignmentSequence	lvl1_StoryScore	lvl2_StoryScore	lvl3_StoryScore	lvl4_StoryScore	lvl5_StoryScore	lvl6_StoryScore	lvl1_StoryScoreSequence	lvl2_StoryScoreSequence	lvl3_StoryScoreSequence	lvl4_StoryScoreSequence	lvl5_StoryScoreSequence	lvl6_StoryScoreSequence	ContinuesOnFail	GameComplete	lvl1_LevelTime	lvl1_LevelTime-Total Time	lvl1_LevelTime-Idle Time	lvl2_LevelTime	lvl2_LevelTime-Total Time	lvl2_LevelTime-Idle Time	lvl3_LevelTime	lvl3_LevelTime-Total Time	lvl3_LevelTime-Idle Time	lvl4_LevelTime	lvl4_LevelTime-Total Time	lvl4_LevelTime-Idle Time	lvl5_LevelTime	lvl5_LevelTime-Total Time	lvl5_LevelTime-Idle Time	lvl6_LevelTime	lvl6_LevelTime-Total Time	lvl6_LevelTime-Idle Time
"AbruptSpy"	"23100213514079719"	"0:01:11.664000"	"0:01:11.664000"	"0:00:00"	[0, 0, 0, 0, 0, 0]	0	"display_text_dialog"	"CallYourEditor"	"Other"	false	false	false	true	0	[]	0	0	0	0	0	[]	0	0	[]	0	0	0	0	0	0	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	false	false	false	false	false	false	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	false	0.0	0	"0:00:00"	0.0	0	"0:00:00"	0.0	0	"0:00:00"	0.0	0	"0:00:00"	0.0	0	"0:00:00"	0.0	0	"0:00:00"
"AbruptSpy"	"23100213541830510"	"0:09:18.670000"	"0:09:18.670000"	"0:00:00"	"[2,1,2,1,2,1]"	0	"snippet_received"	"Office1-CityHall"	"Other"	false	false	false	true	3	[{"skill": "{\"Research\":1,\"Resourceful\":0,\"Endurance\":0,\"Tech\":0,\"Social\":0,\"Trust\":0}", "time": "2023-10-02 19:57:28", "index": 0}, {"skill": "{\"Research\":0,\"Resourceful\":0,\"Endurance\":1,\"Tech\":0,\"Social\":1,\"Trust\":1}", "time": "2023-10-02 19:58:33", "index": 1}, {"skill": "{\"Research\":0,\"Resourceful\":0,\"Endurance\":0,\"Tech\":0,\"Social\":0,\"Trust\":-1}", "time": "2023-10-02 19:59:45", "index": 2}]	5	2	0	3	2	["endurance", "tech", "trust"]	0	1	["resourceful", "social", "research"]	0	0	0	0	0	0	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	false	false	false	false	false	false	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	false	0.0	0	"0:00:00"	0.0	0	"0:00:00"	0.0	0	"0:00:00"	0.0	0	"0:00:00"	0.0	0	"0:00:00"	0.0	0	"0:00:00"
"AbsentFood"	"23100214105326999"	"0:00:10.555000"	"0:00:10.555000"	"0:00:00"	[0, 0, 0, 0, 0, 0]	0	"display_text_dialog"	"START"	"Other"	false	false	false	true	0	[]	0	0	0	0	0	[]	0	0	[]	0	0	0	0	0	0	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	false	false	false	false	false	false	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	false	0.0	0	"0:00:00"	0.0	0	"0:00:00"	0.0	0	"0:00:00"	0.0	0	"0:00:00"	0.0	0	"0:00:00"	0.0	0	"0:00:00"
"AbsentNiche"	"23092908441617419"	"0:02:57.807000"	"0:02:57.807000"	"0:00:00"	"[1,2,1,1,2,2]"	0	"open_timer"	"None"	"Other"	false	false	false	true	2	[{"skill": "{\"Research\":0,\"Resourceful\":0,\"Endurance\":0,\"Tech\":0,\"Social\":1,\"Trust\":1}", "time": "2023-09-29 12:46:06", "index": 0}, {"skill": "{\"Research\":0,\"Resourceful\":1,\"Endurance\":0,\"Tech\":0,\"Social\":0,\"Trust\":0}", "time": "2023-09-29 12:46:43", "index": 1}]	0	0	0	0	2	["resourceful", "trust", "research"]	0	1	["endurance", "tech", "social"]	0	0	0	0	0	0	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	false	false	false	false	false	false	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	false	0.0	0	"0:00:00"	0.0	0	"0:00:00"	0.0	0	"0:00:00"	0.0	0	"0:00:00"	0.0	0	"0:00:00"	0.0	0	"0:00:00"
"AccusedBasket"	"23100214423806709"	"0:04:13.962000"	"0:04:13.962000"	"0:00:00"	"[2,2,1,1,1,1]"	0	"display_text_dialog"	"Office1-Police"	"Other"	false	false	false	true	2	[{"skill": "{\"Research\":1,\"Resourceful\":0,\"Endurance\":0,\"Tech\":0,\"Social\":0,\"Trust\":0}", "time": "2023-10-02 18:44:39", "index": 0}, {"skill": "{\"Research\":0,\"Resourceful\":1,\"Endurance\":0,\"Tech\":0,\"Social\":0,\"Trust\":0}", "time": "2023-10-02 18:45:28", "index": 1}]	0	0	0	0	2	["endurance", "resourceful"]	0	1	["tech", "social", "trust", "research"]	0	0	0	0	0	0	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	false	false	false	false	false	false	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	false	0.0	0	"0:00:00"	0.0	0	"0:00:00"	0.0	0	"0:00:00"	0.0	0	"0:00:00"	0.0	0	"0:00:00"	0.0	0	"0:00:00"
"AcidicSpeed"	"23092914232782174"	"0:02:12.650000"	"0:02:12.650000"	"0:00:00"	"[1,2,1,2,1,1]"	0	"snippet_received"	"TakeSomePhotos"	"Other"	false	false	false	true	1	[{"skill": "{\"Research\":0,\"Resourceful\":1,\"Endurance\":0,\"Tech\":1,\"Social\":0,\"Trust\":0}", "time": "2023-09-29 18:25:05", "index": 0}]	1	0	0	1	2	["resourceful", "social"]	0	1	["endurance", "tech", "trust", "research"]	0	0	0	0	0	0	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	false	false	false	false	false	false	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	false	0.0	0	"0:00:00"	0.0	0	"0:00:00"	0.0	0	"0:00:00"	0.0	0	"0:00:00"	0.0	0	"0:00:00"	0.0	0	"0:00:00"
"AdaptivePoster"	"23100212481237275"	"0:05:57.657000"	"0:05:57.657000"	"0:00:00"	"[1,3,1,2,2,3]"	0	"editor_notes_open"	"None"	"Other"	false	false	false	true	3	[{"skill": "{\"Research\":0,\"Resourceful\":1,\"Endurance\":0,\"Tech\":1,\"Social\":0,\"Trust\":0}", "time": "2023-10-02 18:50:12", "index": 0}, {"skill": "{\"Research\":0,\"Resourceful\":1,\"Endurance\":0,\"Tech\":0,\"Social\":1,\"Trust\":1}", "time": "2023-10-02 18:51:06", "index": 1}, {"skill": "{\"Research\":0,\"Resourceful\":0,\"Endurance\":0,\"Tech\":0,\"Social\":0,\"Trust\":1}", "time": "2023-10-02 18:53:28", "index": 2}]	2	0	2	0	3	["resourceful", "research"]	0	1	["endurance", "tech"]	0	0	0	0	0	0	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	false	false	false	false	false	false	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	false	0.0	0	"0:00:00"	0.0	0	"0:00:00"	0.0	0	"0:00:00"	0.0	0	"0:00:00"	0.0	0	"0:00:00"	0.0	0	"0:00:00"
"AdaptiveScreen"	"23093009493193755"	"0:34:43.550000"	"0:30:03.853000"	"0:04:39.697000"	"[3,4,2,3,3,2]"	3	"display_choices"	"None"	"Other"	false	false	false	true	10	[{"skill": "{\"Research\":1,\"Resourceful\":0,\"Endurance\":0,\"Tech\":0,\"Social\":0,\"Trust\":0}", "time": "2023-09-30 01:52:22", "index": 0}, {"skill": "{\"Research\":0,\"Resourceful\":1,\"Endurance\":0,\"Tech\":0,\"Social\":1,\"Trust\":1}", "time": "2023-09-30 01:52:59", "index": 1}, {"skill": "{\"Research\":0,\"Resourceful\":0,\"Endurance\":0,\"Tech\":0,\"Social\":0,\"Trust\":-1}", "time": "2023-09-30 01:53:38", "index": 2}, {"skill": "{\"Research\":0,\"Resourceful\":0,\"Endurance\":0,\"Tech\":2,\"Social\":0,\"Trust\":-1}", "time": "2023-09-30 01:59:47", "index": 3}, {"skill": "{\"Research\":0,\"Resourceful\":0,\"Endurance\":1,\"Tech\":0,\"Social\":0,\"Trust\":1}", "time": "2023-09-30 02:00:33", "index": 4}, {"skill": "{\"Research\":0,\"Resourceful\":1,\"Endurance\":0,\"Tech\":1,\"Social\":0,\"Trust\":0}", "time": "2023-09-30 02:01:11", "index": 5}, {"skill": "{\"Research\":1,\"Resourceful\":0,\"Endurance\":0,\"Tech\":0,\"Social\":0,\"Trust\":0}", "time": "2023-09-30 02:01:44", "index": 6}, {"skill": "{\"Research\":0,\"Resourceful\":0,\"Endurance\":1,\"Tech\":0,\"Social\":1,\"Trust\":0}", "time": "2023-09-30 02:10:03", "index": 7}, {"skill": "{\"Research\":0,\"Resourceful\":0,\"Endurance\":0,\"Tech\":0,\"Social\":0,\"Trust\":1}", "time": "2023-09-30 02:20:11", "index": 8}, {"skill": "{\"Research\":0,\"Resourceful\":1,\"Endurance\":0,\"Tech\":1,\"Social\":0,\"Trust\":0}", "time": "2023-09-30 02:21:23", "index": 9}]	20	6	9	5	4	["resourceful"]	1	2	["tech", "research"]	2	2	0	0	0	0	0	0	0	0	0	0	[{"endurance": 2, "resourceful": 2, "tech": 2, "social": 3, "trust": 2, "research": 1}]	[]	[]	[]	[]	[]	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	{"endurance": 3, "resourceful": 3, "tech": 1, "social": 2, "trust": 2, "research": 1}	{"endurance": 3, "resourceful": 3, "tech": 2, "social": 2, "trust": 3, "research": 1}	{"endurance": 3, "resourceful": 4, "tech": 2, "social": 3, "trust": 3, "research": 2}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	true	true	false	false	false	false	["@C22C685F", "@CB19BD38", "@3E8EE97D", "@932A76D4"]	["Good", "Good", "Good", "Great"]	["Fact", "Photo", "Quote", "Photo"]	["@22B3517C", "@9AA2F166", "@11F1B0E8", "@EB9ACCCF", "@39AE4E5F", "@620E6928", "@0A378E92", "@53656075"]	["Good", "Great", "Good", "Good", "Good", "Good", "Bad", "Bad"]	["Fact", "Graph", "Fact", "Fact", "Quote", "Quote", "Quote", "Quote"]	["@2072DF3F", "@D0C1271D"]	["Bad", "Bad"]	["Quote", "Photo"]	[]	[]	[]	[]	[]	[]	[]	[]	[]	["@C22C685F", "@CB19BD38", "@3E8EE97D", "@932A76D4"]	["@22B3517C", "@9AA2F166", "@11F1B0E8", "@EB9ACCCF", "@39AE4E5F", "@620E6928", "@0A378E92", "@53656075"]	[]	[]	[]	[]	0.376	0.55	0	0	0	0	[0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[]	[]	[]	[]	1	1	0	0	0	0	[0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[]	[]	[]	[]	1	true	1951.1080000000002	2230.8050000000003	"0:04:39.697000"	-279.697	0	"0:04:39.697000"	-279.697	0	"0:04:39.697000"	-279.697	0	"0:04:39.697000"	-279.697	0	"0:04:39.697000"	-279.697	0	"0:04:39.697000"
"AdaptiveScreen"	"23093010243846472"	"0:01:03.170000"	"0:01:03.170000"	"0:00:00"	[0, 0, 0, 0, 0, 0]	3	"text_click"	"SprayItWithPepperSpray"	"OnFail"	false	true	false	false	0	[]	0	0	0	0	0	[]	1	0	[]	0	0	0	0	0	0	0	0	0	0	0	0	[]	[]	[{"endurance": 3, "resourceful": 4, "tech": 2, "social": 3, "trust": 3, "research": 2}]	[]	[]	[]	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": 3, "resourceful": 4, "tech": 2, "social": 3, "trust": 3, "research": 2}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	false	false	false	false	false	false	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	true	0.0	0	"0:00:00"	0.0	0	"0:00:00"	0.0	0	"0:00:00"	0.0	0	"0:00:00"	0.0	0	"0:00:00"	0.0	0	"0:00:00"
"AdaptiveScreen"	"23093010255558240"	"0:06:26.872000"	"0:06:26.872000"	"0:00:00"	[0, 0, 0, 0, 0, 0]	4	"display_choices"	"None"	"Other"	false	false	false	true	0	[]	5	1	3	1	0	[]	0	0	[]	0	0	0	0	0	0	0	0	0	0	0	0	[]	[]	[]	[]	[]	[]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": 3, "resourceful": 4, "tech": 2, "social": 3, "trust": 3, "research": 2}	{"endurance": 3, "resourceful": 4, "tech": 2, "social": 3, "trust": 3, "research": 2}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	{"endurance": null, "resourceful": null, "tech": null, "social": null, "trust": null, "research": null}	false	false	true	false	false	false	[]	[]	[]	[]	[]	[]	["@F141D9AB", "@C10E0BDE", "@51212A4C", "@6AA30C08", "@E7FE163C"]	["Good", "Good", "Great", "Bad", "Good"]	["Photo", "Quote", "Quote", "Fact", "Quote"]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	["@2072DF3F", "@F141D9AB", "@C10E0BDE", "@51212A4C", "@6AA30C08", "@E7FE163C"]	[]	[]	[]	0	0	0.3	0	0	0	[]	[]	[0, 0, 0, 0, 0]	[]	[]	[]	0	0	0	0	0	0	[]	[]	[0, 0, 0, 0, 0]	[]	[]	[]	0	true	313.952	313.952	"0:00:00"	0.0	0	"0:00:00"	0.0	0	"0:00:00"	0.0	0	"0:00:00"	0.0	0	"0:00:00"	0.0	0	"0:00:00"
