StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q17,,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q5_1,Q5_2,Q5_3,Q5_4,Q6_1,Q6_2,Q6_3,Q6_4,Q9,Q10,Q11_1,Q12,Q13,Q14,Q15,Q16,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q19,Q20,Q21
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Select your teacher's name,Please type the ID code given to you by your teacher.,Please type the player code you used in the Aqualab game.,,"Click the button that shows how confident you are that you can do the following science tasks.



How confident are you... - ... that you can investigate what causes change in an environment?","Click the button that shows how confident you are that you can do the following science tasks.



How confident are you... - ... that you can do the kinds of things that scientists do?","Click the button that shows how confident you are that you can do the following science tasks.



How confident are you... - ... that you can look at data that you collect and notice patterns?","Click the button that shows how confident you are that you can do the following science tasks.



How confident are you... - ... that you can investigate the relationships between organisms and their environment?","Click the button that shows how confident you are that you can do the following science tasks.



How confident are you... - ... that you can investigate the reasons why things happen in nature?","Click the button that shows how confident you are that you can do the following science tasks.



How confident are you... - ... that you can use tables and graphs to figure things out?","Click the button that shows how confident you are that you can do the following science tasks.



How confident are you... - ... that you can investigate the kinds of problems that an ecosystem scientist would investigate?",Click the button that best describes how true or false each statement is for you. - Being involved in science is a key part of who I am.,Click the button that best describes how true or false each statement is for you. - I can see science-related activities as being a part of my future.,Click the button that best describes how true or false each statement is for you. - I consider myself a science person.,Click the button that best describes how true or false each statement is for you. - I can imagine myself being involved in a science-related career.,Click the button that best describes how true or false each statement is for you. - I am interested in learning about nature.,Click the button that best describes how true or false each statement is for you. - I have no interest in learning about the environment.,Click the button that best describes how true or false each statement is for you. - I would like to learn more about environmental science.,Click the button that best describes how true or false each statement is for you. - I am interested in learning about ecosystems.,"A student set up an experiment that will measure and record the growth of two of the same flowering plants (A and B) every other day for 10 days as shown below:



Diagram 1





According to the diagram, which question below is the student trying to answer?  (Pick only one.)",Explain why you think the question you selected is being tested.  Justify your answer using details from the diagram above.,"A population of rabbits and foxes live in a remote area. The foxes do not have any predators.



Scientists counted the number of rabbits and foxes over a long time period and plotted their results, as shown below. - In which year was the population of rabbits at its highest?",Describe how the changes in population size of rabbits and foxes are related.,"A plot of land was divided into 10 equal areas. A different amount of fertilizer was added to each area. Rice was planted in each area. The table below shows the amount of fertilizer added and the yields of rice for each area.






State a claim about the effect of the amount of fertilizer on the yield of rice. Use evidence from the table to support your claim.","A bird watcher wants to investigate which type of food, sunflower seeds or thistle seeds, will attract more birds in her backyard.



Design an experiment the bird-watcher could conduct to help her decide which food will attract more birds.  Make sure to describe:

	What you would be comparing (e.g., variables).
	What things you would make sure are the same each time you do your experiment.
	What data you would collect.","Barbara learned in school that coral reefs have animals called corals and small plant-like organisms called algae that live there. Algae live inside corals and make them look colorful. She also learned that rising ocean temperatures are harming some corals in coral reefs.



Barbara visited coral reefs the following summer. When she dove under the water, she saw a pattern where in one area, the corals were white and dead while in another area, the corals looked colorful and healthy.    



                     
  

Barbara created a model using what she knew about interactions between ocean temperatures, corals, and algae. She wants to use her model to try and understand the pattern she observed when she visited coral reefs in the summer.

 

         

 

Use Barbara’s model to describe why some corals appear colorful and are healthy while other corals appear white and dead. Be sure to include what you know about mutually beneficial relationships and the role of algae and rising ocean temperatures in your response.","Krystal heard a news story about a new fish called Asian silver carp that has come into Lake Erie. In the news story, Krystal learned that Asian silver carp eat small plants and animals. Even though Asian silver carp do not eat other fish, they are still causing the populations of some fish to change in the lake. She found a data table on the change in populations of three different fish after the Asian silver carp came into Lake Erie.
     



Use the patterns in the data table to write a scientific explanation on whether the Asian silver carp affect the different fish populations in Lake Erie in the same way.



Your explanation should include:

1. A claim that states whether the Asian silver carp will affect all the fish (shad, shiner, and smallmouth bass) in the same way.

2. Evidence from the data table about how the Asian silver carp affects the population of shad, shiner, and smallmouth bass.

3. Reasoning that describes the types of relationships that exists between the Asian silver carp and the three fish in the data table.",How much do you agree with the following statements describing your experience with playing Wake: Tales from the Aqualab? - I enjoyed playing Wake very much.,How much do you agree with the following statements describing your experience with playing Wake: Tales from the Aqualab? - Playing Wake was fun.,How much do you agree with the following statements describing your experience with playing Wake: Tales from the Aqualab? - I thought Wake was boring.,How much do you agree with the following statements describing your experience with playing Wake: Tales from the Aqualab? - I would play Wake in my spare time.,How much do you agree with the following statements describing your experience with playing Wake: Tales from the Aqualab? - I would play Wake longer if I could.,How much do you agree with the following statements describing your experience with playing Wake: Tales from the Aqualab? - I would recommend Wake to my friends.,What did you like about Wake: Tales from the Aqualab?,Is there anything you didn't like about Wake: Tales from the Aqualab?,In what ways do you think Wake helped you learn science?
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID33""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID46_TEXT""}",,"{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_5""}","{""ImportId"":""QID13_6""}","{""ImportId"":""QID13_7""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID14_4""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_4""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID42_TEXT""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID47_2""}","{""ImportId"":""QID47_3""}","{""ImportId"":""QID47_4""}","{""ImportId"":""QID47_5""}","{""ImportId"":""QID47_6""}","{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID49_TEXT""}","{""ImportId"":""QID50_TEXT""}"
6/15/23 12:53,6/15/23 13:34,IP Address,209.6.3.166,100,2459,TRUE,6/15/23 13:34,R_2dJQH2hxIF5PPIH,,,,,42.3725,-71.1814,anonymous,EN,JS,AvianSheet,AvianSheet,,3,4,4,4,3,3,3,A little bit true,A little bit true,A little bit true,A little bit true,Mostly true,A little bit false,A little bit true,A little bit true,Does fertilizer added to the soil lead to taller flowering plants?,"The same things are being added to both of the pots, except that there is fertilizer being added to Pot A, so they are trying to find which ones grow taller, the one with fertilizer or the one without fertilizer.",1984,"They are related because when the population size of the rabbit is increased, then the population of foxes also increases because they have more food to eat. However, if the rabbit's population decreases, then the foxes would die in result with not a lot of food.","The yield of rice is affected by the amount of fertilizer added to it. In the 1st area, there were 0 amount of fertilizer added, so the yield of rice was smaller than the other areas that had fertilizer added to it.","I would be comparing which food will attract the birds most, sunflower seeds or thistle seeds. Each time I would do the experiment, I would make sure that there would be the same amount of sunflower and thistle seeds, and they would be placed in the same location, on a table. After a few hours, I will return to the table and count how many seeds are in each group that are left, and see which one has lesser amount of seeds.","Some corals appear colorful and healthy while other corals appear white and dead because the rising ocean temperatures affect their survival. For Coral B, Algae B provides it sugar and in return gives it nutrients, and they are not affected by the rising temperatures of the ocean, which is why they are surviving. However, Coral A and Algae A do the same thing, but are affected by the rising temperatures in the ocean, therefore affecting their survival.","The Asian silver carp will not affect all the fish in the same way. Asian silver carp affects the population of shad and shiner, because they all have the same diet so they would have to share the food, which would decrease their populations. For the smallmouth bass, Asian silver carp affects it because since they eat them, then they will have another food in their diet therefore increasing their population. Asian silver carp's relationship to the shad and shiner is that they share the same diet and eat the same types of fish. Asian silver carp's relationship to the smallmouth bass is that smallmouth bass is its predator.",Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"I like that there were cool adventures like saving Sam, and there were pretty cool sites, like Site X in the Arctic, the lower depths, the Trawling Bay in Bayou, and Ignis Collis Deep.","I didn't really like the part that you had to do experiments over and over again, and Victor wasn't really helpful. Also, lots of the jobs were very confusing, and I needed help for them.","It helped me to learn more about the different type of species in each Site, and how to observe and measure the interactions between the species. I also learned what it was like to model all of them."
6/15/23 13:41,6/15/23 13:56,IP Address,209.6.3.166,100,907,TRUE,6/15/23 13:56,R_1NXhvgs4qscCACJ,,,,,42.3725,-71.1814,anonymous,EN,JS,CarpetedSlump,CarpetedSlump,,3,2,4,4,4,3,2,Mostly false,Mostly false,A little bit false,Mostly false,Mostly true,Mostly false,A little bit true,A little bit true,Does fertilizer added to the soil lead to taller flowering plants?,I selected this question because I realized the controls in the experiment are the plants that are the same and the time grow. The only thing that is shown being different between the two plants is that one has fertilizer and the other doesn't. The dependent variable is how tall the plant will get because it is dependent on whether or not fertilizer is added.,1984,The changes in the populations are related because when the rabbit population is high the fox population lowers it and in turn the fox population increases. The fox population decreases because of the lack of its food  and the rabbit population grows with the lack of its predators. ,Not enough time.,Not enough time.,Not enough time.,Not enough time.,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not enough time.,Not enough time.,Not enough time.
6/15/23 13:43,6/15/23 23:24,IP Address,76.118.237.182,100,34839,TRUE,6/15/23 23:24,R_3HZfV52BQnGHFo0,,,,,42.3252,-71.095,anonymous,EN,JS,ChemicalLoan,ChemicalLoan,,5,4,5,5,4,4,5,A little bit false,Mostly true,Mostly true,Definitely true,A little bit false,A little bit true,A little bit true,Mostly true,Does fertilizer added to the soil lead to taller flowering plants?,because there giving only one flower fertalizer,1984,because when therer are more rabbits the foxes have more to eat so they flurish but when theres no rabbits foxes die,70 - 100 grams of fertalizer is the best amount because the amount of rice is at the highest wit dat amount,"typeof seed
the amount of seeds
the amount of birds atractid by defrent seeds
",the ocean tempiture rises and killsalgie so theres no sugar,they eat the plants afeccting the ecosytym,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,"w game,felt interactive",no,yes
6/15/23 13:41,6/15/23 13:59,IP Address,209.6.3.166,100,1054,TRUE,6/15/23 13:59,R_x44zWplwHe5oBCF,,,,,42.3725,-71.1814,anonymous,EN,JS,CravenGhost,CravenGhost,,4,3,5,4,4,4,4,Definitely false,Mostly false,Mostly false,Mostly false,A little bit true,Mostly false,Mostly false,Mostly false,Does fertilizer added to the soil lead to taller flowering plants?,It showed the amount of water and did not mention salt.,1984,When the rabbit population rises the foxes do right after,The more the fertilizer the more rice until around 140,Lay all them out and watch,IDK,Same thing as I wrote in the presurvey,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,I did not like anything really,I slow a lot of the stuff was,It did not really help.
6/15/23 13:43,6/15/23 16:07,IP Address,108.26.182.94,100,8634,TRUE,6/15/23 16:07,R_3rG6Oyx3XvLKriV,,,,,42.3291,-71.1815,anonymous,EN,JS,DamagingTackle,DamagingTackle,,5,4,5,5,5,4,5,A little bit true,A little bit true,Mostly true,A little bit true,A little bit false,A little bit false,Mostly false,A little bit true,Does fertilizer added to the soil lead to taller flowering plants?,This is because the variable that changes is fertilizer so the question has to do with fertilizer. Since the amount of fertilizer differs it has to do with the amount of fertilizer and there is only one question like that and that is the one I picked.,1983,They fluctuate near each other and the high points of the fox population touch the low points of the rabbit population.,If you add too little fertilizer the yield of rice will not grow too well. If you add too much the rice yield will start shrinking. 70-100 units of fertilizer is the perfect amount to have the most weight of rice.,"You could make a bird feeder, one with  ",Algae A is dead because the ocean temperature is higher and coral cannot live in that heat. Since  Algae A is dead it can no longer provide sugar to Coral A and Coral A dies. The reason why Coral B is still alive is because Algae B didn't die so it can still provide sugar to Coral B.,The Asian silver carp does not affect different populations in the same way. The evidence for this would be the table. It says in the table that the population of the Shad and the Shiner decreased but the Smallmouth bass' population did increase therefore the Asain silver carp affecting these fish in different ways.,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,I liked that it was very detailed and you got to go to new locations and pick what jobs you do.,Some of the jobs were hard because there wasn't enough explanation about what to do.,It taught me different things about different ecosystems.
6/15/23 13:41,6/15/23 13:57,IP Address,209.6.3.166,100,966,TRUE,6/15/23 13:57,R_3fAGjgC45CNoozT,,,,,42.3725,-71.1814,anonymous,EN,JS,DustySki,DustySki,,4,3,4,4,2,4,3,Definitely false,Mostly false,Definitely false,Definitely false,Mostly true,Definitely false,A little bit true,Mostly true,Does fertilizer added to the soil lead to taller flowering plants?,"I think that the thing they are trying to figure out is if adding fertilizer to plants makes taller plants. I know this because they say nothing about adding salt to the plants, or how much sun they get, they are not trying to see how much fertilizer they need, and they each get the same amount of water",440,"When the fox population goes down, the rabbit population goes up, and when the rabbit population goes down, the fox population goes up","The amount of fertilizer that produces the most rice is in between 60 and 120. These make the amount of rice skyrocket, and just 10 less of 10 more makes it go down by a significant amount. ",You would have to have 2 different bird feeders with equal amount of food in similar places. You have to put the same amount of each seed in each feeder and then you would see which feeder had the least amount after x number of days. ,"The rising ocean temperature makes the coral white. Coral A and B have all of the same interactions, the only difference is that coral A has the ocean temperature affecting it","The Asian Silver Carp will not affect all of the fish in the same way. The shad and shiner fish had a large decrease, but the smallmouth bass had an increase of 16%. When you line up the current numbers you can see that the smallmouth bass are benifited, and the rest of them are not . The population of the Shad is 80% The population of the Shiner is at 65%. The population of the smallmouth bass is at 116%. 65% and 116% is a Ginourmous difference. ",Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,I like how it has a storyline. ,"I didn't like how when you were reporting back to the person you couldn't use AQOS, because it made it a lot harder. I also think there should be a shortcut to see the journal where you don't have to go all the way to the bedroom, and a shortcut to surface quicker. Victor also should be more helpful and provide more advice. There also should be a map. ",It helped me understand more stuff in a fun way. 
6/15/23 12:57,6/15/23 13:17,IP Address,209.6.3.166,100,1192,TRUE,6/15/23 13:17,R_3PmFqKsXO8GnCBb,,,,,42.3725,-71.1814,anonymous,EN,JS,ExpertPompom,ExpertPompom,,3,4,4,5,5,6,3,Mostly true,Definitely true,A little bit true,Definitely true,Mostly true,A little bit true,Mostly false,A little bit false,Does fertilizer added to the soil lead to taller flowering plants?,because you change the thing being added to the one pot and not the other,440,since foxes eat rabbits the increase of foxes mean the decrease of rabbits indirectly so you can see the increase of foxes means the decrease in rabbits,about 60 units of nitrogen per area should be a good amount because the increase is steady and about 6 kg of rice increase per unit and it just increases by one at 60 units and reaches its peak at 70,the variables are the different seeds and make sure the amounts you are laying out are the same and then measure the difference after a day of letting the birds eat,rising ocean temperatures seem to be affecting some corals compared to others,The Asian Silver Carp does not affect all organisms since small mouth bass eats the carp making it have a increase in population while other fish are prey and competitors to the carp,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,the different jobs that vary in complication and the upgrades,the robot he barely did anything,yeah kind of
6/15/23 13:52,6/15/23 14:59,IP Address,108.26.230.249,100,3992,TRUE,6/15/23 14:59,R_Uhfw2RxFTGNCObL,,,,,42.3291,-71.1815,anonymous,EN,JS,FishyViolin,FishyViolin,,3,2,3,4,4,5,4,Mostly false,A little bit false,Mostly false,A little bit false,Mostly false,A little bit false,A little bit true,A little bit false,Does fertilizer added to the soil lead to taller flowering plants?,"I think the question I selected is being tested because one plant is getting fertilizer and one is not. And every other day they measure the height of each plant. So, they want to see if the fertilizer added to the soil leads to taller plants.",1984,"The changes in population size of rabbits and foxes are related because the high population of rabbits typically means a small population of foxes, but a smaller population of rabbits means more foxes.","The effect of the amount of fertilizer on the yield of rice is if you add up to an amount of 70 fertilizer the yield of rice becomes more, but once you get to 70 or more the yield of rice stays the same or decreases. ",An experiment to decide which food will attract more birds is that I would put each type of food separate from one another. Every time I do the experiment I will count the number of birds that go to each area and tallie it up. That way by the end I will know which food attracts the most birds.,"Some corals may appear colorful and healthy while others may appear white and dead could be because of the different rising ocean temperatures. The ocean temperature has an effect on the health and color of the coral. In addition, the algae A had been affected by the rising temperatures of the oceans which can lead to unhealthy coral. Therefore, that is why coral can look like many different types.","The Asian silver carp affects the different fish in similar ways. For example, when the Shad fish mostly eat small plants and animals you see a 20% decrease and when the Shriner fish eat the same they have a larger decrease (35%). However, when the smallmouth bass eats the Asian silver carp you see an increase. In addition, a relationship that exists between the Asian silver carp and the three types of fish is the fish that ate the Asian silver carp saw an increase in the population, however the ones that didn't eat it saw a decrease in the population. Therefore, eating the Asian silver carp has an effect on the fish in a similar way.",Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,What I liked about Wake: Tales from the Aqualab is that the game was fun and more entertaining than doing the type of schoolwork we typically have to do in science.,Something I didn't like about Wake: Tales from the Aqualab is that a lot of the talking with others on the game was not needed and unnecessary.,I think Wake helped me learn science because it taught me a lot about the ecosystems and what effects some of the ecosystems.
