Line Name,Code,English,Español ,//comments,Code-switching,
ExperimentResponses|partner.talk.experiment.behavior.newObservation.1:1,@0EE74D67,{@guide}    Nice one!,¡Perfecto!,"Note: All the ""Ollies"" in the Spanish column will be replaced with Olí",,
ExperimentResponses|partner.talk.experiment.behavior.newObservation.2:1,@8E4FE416,{@guide}    Good catch.,Tienes buena vista,,,
ExperimentResponses|partner.talk.experiment.behavior.idle.nothingLeft.1:0,@B71C8E10,{@guide}    I think we've learned all that we can from this experiment.,Creo que ya aprendimos todo lo que podemos de este experimento.,,,
ExperimentResponses|partner.talk.experiment.behavior.idle.nothingLeft.2:0,@58AC69B5,{@guide}    You've been pretty thorough here! I doubt we'll learn anything more from this experiment.,Fuiste muy meticulosa. Dudo que hayga algo más de este experimento.,,,
ExperimentResponses|partner.talk.experiment.behavior.idle.nothingLeft.missedSome.1:0,@B232474D,"{@guide}    Well, we might have missed something... we should finish up and restart this experiment.","Pues, puede que haygamos perdido algo... deberíamos recomenzar este experimento",,,
ExperimentResponses|partner.talk.experiment.behavior.idle.nothingLeft.missedSome.2:0,@10A26BA8,{@guide}    I feel like we missed something... we should finish this up and restart the experiment.,Creo que nos nos falta algo... deberíamos terminar esto y reiniciar el experimento.,,,
ExperimentResponses|partner.talk.experiment.behavior.idle.somethingLeft.noCircles.1:0,@102DCC07,"{@guide}    Let's be patient, I think there might be something here to observe.","Seamos pacientes, creo que aquí hay algo que observar.",,,
ExperimentResponses|partner.talk.experiment.behavior.idle.somethingLeft.noCircles.2:0,@B351A6D6,{@guide}    I'm pretty sure there's something new here to observe...,Estoy bastante seguro que aquí hay algo nuevo para observar...,,,
ExperimentResponses|partner.talk.experiment.behavior.idle.somethingLeft.1:0,@774E0111,{@guide}    Let's wait for another opportunity to observe a behavior.,Esperemos otra oportunidad para observar un comportamiento.,,,
ExperimentResponses|partner.talk.experiment.behavior.idle.somethingLeft.2:0,@55E5FE5C,{@guide}    We've already seen something - maybe there's something else to observe?,Ya vimos algo- ¿quizás hay algo más que observar?,,,
ExperimentResponses|partner.talk.experiment.generic.observation-tank.intro:0,@25D86D23,{@guide}\tThis is your {h}{nameof ObservationTank}{/h}.,Este es tu {h}{nameof ObservationTank}{/h}.,,,
ExperimentResponses|partner.talk.experiment.generic.observation-tank.intro:1,@24D86B90,Click {h}Add Water{/h} to fill the tank.,Haz clic en {h}Añadir agua{/h} para llenar el depósito.,,,
ExperimentResponses|partner.talk.experiment.generic.observation-tank.intro:2,@27D87049,Select an {h}Environment{/h} and choose which organisms to include.,Selecciona un {h}Ambiente{/h} y elige qué organismos incluir.,,,
ExperimentResponses|partner.talk.experiment.generic.observation-tank.intro:3,@26D86EB6,Then click {h}Run Experiment{/h} and record how the different life forms interact!,"Después, haz clic en {h}Comenzar experimento{/h} y registra cómo interactúan los organismos.",,,
ExperimentResponses|partner.talk.experiment.generic.stress-tank.intro:0,@8EAE9D05,{@guide}\tThis is the {h}{nameof StressTank}{/h}.,{@guide}\tEste es el {h}{nameof StressTank}{/h}.,,,
ExperimentResponses|partner.talk.experiment.generic.stress-tank.intro:1,@8DAE9B72,"Once you start an experiment, there will be sliders on the bottom.","Al iniciar un experimento, aparecerán controles deslizantes debajo.",,,
ExperimentResponses|partner.talk.experiment.generic.stress-tank.intro:2,@8CAE99DF,Moving the sliders affects the tank conditions.,Moviendo los controles deslizantes afecta las condiciones del tanque.,,,
ExperimentResponses|partner.talk.experiment.generic.stress-tank.intro:3,@8BAE984C,They will auto adjust to make sure the organisms don't get hurt.,Automáticamente se ajustarán para que no sufran los organismos.,,,
"ExperimentResponses|partner.talk.experiment.generic.stress-tank.outro:0, @CFB0ABBC, ""{@guide}\tAdequate work, O!""",@CFB0ABBC,"{@guide}\tAdequate work, O!",,,,
ExperimentResponses|partner.talk.experiment.generic.stress-tank.outro:1,@D0B0AD4F,"""{@player}\tHmm. Can you remind me what this all means, {nameof @guide}?""",,,,
ExperimentResponses|partner.talk.experiment.generic.stress-tank.outro:2,,"""{@guide}\tCertainly, O.""",,,,
ExperimentResponses|partner.talk.experiment.generic.stress-tank.outro:3,@D2B0B075,"""For each environment variable, the bars show values from low to high.""",,,,
ExperimentResponses|partner.talk.experiment.generic.stress-tank.outro:4,@CBB0A570,"""{@guide}\tThe grayed parts show the range where the organism is stressed.""",,,,
ExperimentResponses|partner.talk.experiment.generic.stress-tank.outro:5,@CCB0A703,"""{@player} \tGot it. So basically... we're getting the ranges of conditions",,stress,the,"organism?"""
ExperimentResponses|partner.talk.experiment.generic.stress-tank.outro:6,@CDB0A896,"""{@guide}\tExactly.""",,,,
ExperimentResponses|partner.talk.experiment.generic.measurement-tank.intro:0,@3BCB554D,{@guide}\tThis is the {h}{nameof MeasurementTank}{/h}.,{@guide}\tEste es el {h} {nameof MeasurementTank}{/h}.,,,
ExperimentResponses|partner.talk.experiment.generic.measurement-tank.intro:1,@3ACB53BA,We can use it to gather numerical facts that we'll need to run simulations in the Modeling Lab.,Se puede usar para reunir datos numéricos que necesitaremos para realizar simulaciones en el Laboratorio de Modelización.,,,
ExperimentResponses|partner.talk.experiment.generic.measurement-tank.intro:2,@39CB5227,First you will select an {h}Environment{/h}.,Primero seleccionarás un {h}Ambiente{/h}.,,,
